Keep,Survey Type,System,role_rganization,years_experience,domain_activity,Python_experience,Cpp_experience,Java_experience,C_experience,C#_experience,NotHandlingExceptions_prevalence,AssumingSafeReturnValue_prevalence,ExcessiveCommunication_prevalence,Clustering_prevalence,Scattering_prevalence,HardCodingLibraries_prevalence,LocalReferences_prevalence,MemoryManagement_prevalence,CachingObjects_prevalence,SecuringLibraries_prevalence,RelativePath_prevalence,ExcessiveObjects_prevalence,UnusedDeclaration_prevalence,UnusedImplementation_prevalence,UnusedParameters_prevalence,NotHandlingExceptions_Expandability,NotHandlingExceptions_Simplicity,NotHandlingExceptions_Reusability,NotHandlingExceptions_Learnability,NotHandlingExceptions_Understandability,NotHandlingExceptions_Modularity,ReturnValue_Expandability,ReturnValue_Simplicity,ReturnValue_Reusability,ReturnValue_Learnability,ReturnValue_Understandability,ReturnValue_Modularity,ExcessiveCommunication_Expandability,ExcessiveCommunication_Simplicity,ExcessiveCommunication_Reusability,ExcessiveCommunication_Learnability,ExcessiveCommunication_Understandability,ExcessiveCommunication_Modularity,Clustering_Expandability,Clustering_Simplicity,Clustering_Reusability,Clustering_Learnability,Clustering_Understandability,Clustering_Modularity,Scattering_Expandability,Scattering_Simplicity,Scattering_Reusability,Scattering_Learnability,Scattering_Understandability,Scattering_Modularity,HardCodingLibraries_Expandability,HardCodingLibraries_Simplicity,HardCodingLibraries_Reusability,HardCodingLibraries_Learnability,HardCodingLibraries_Understandability,HardCodingLibraries_Modularity,LocalReferences_Expandability,LocalReferences_Simplicity,LocalReferences_Reusability,LocalReferences_Learnability,LocalReferences_Understandability,LocalReferences_Modularity,MemoryManagement_Expandability,MemoryManagement_Simplicity,MemoryManagement_Reusability,MemoryManagement_Learnability,MemoryManagement_Understandability,MemoryManagement_Modularity,CachingObjects_Expandability,CachingObjects_Simplicity,CachingObjects_Reusability,CachingObjects_Learnability,CachingObjects_Understandability,CachingObjects_Modularity,SecuringLibraries_Expandability,SecuringLibraries_Simplicity,SecuringLibraries_Reusability,SecuringLibraries_Learnability,SecuringLibraries_Understandability,SecuringLibraries_Modularity,RelativePath_Expandability,RelativePath_Simplicity,RelativePath_Reusability,RelativePath_Learnability,RelativePath_Understandability,RelativePath_Modularity,ExcessiveObjects_Expandability,ExcessiveObjects_Simplicity,ExcessiveObjects_Reusability,ExcessiveObjects_Learnability,ExcessiveObjects_Understandability,ExcessiveObjects_Modularity,UnusedDeclaration_Expandability,UnusedDeclaration_Simplicity,UnusedDeclaration_Reusability,UnusedDeclaration_Learnability,UnusedDeclaration_Understandability,UnusedDeclaration_Modularity,UnusedImplementation_Expandability,UnusedImplementation_Simplicity,UnusedImplementation_Reusability,UnusedImplementation_Learnability,UnusedImplementation_Understandability,UnusedImplementation_Modularity,UnusedParameters_Expandability,UnusedParameters_Simplicity,UnusedParameters_Reusability,UnusedParameters_Learnability,UnusedParameters_Understandability,UnusedParameters_Modularity,NotHandlingExceptions_Ranking,AssumingSafeReturnValue_Ranking,ExcessiveCommunication_Ranking,Clustering_Ranking,Scattering_Ranking,HardCodingLibraries_Ranking,LocalReferences_Ranking,MemoryManagement_Ranking,CachingObjects_Ranking,SecuringLibraries_Ranking,RelativePath_Ranking,ExcessiveObjects_Ranking,UnusedDeclaration_Ranking,UnusedImplementation_Ranking,UnusedParameters_Ranking,Clean 1,Smell1,Smell1_Validation,Smell1_Severity,Smell1_Refactoring,Smell2,Smell2_Validation,Smell2_Severity,Smell2_Refactoring,Smell3,Smell3_Validation,Smell3_Severity,Smell3_Refactoring,Smell4,Smell4_Validation,Smell4_Severity,Smell4_Refactoring,Smell5,Smell5_Validation,Smell5_Severity,Smell5_Refactoring,Smell6,Smell6_Validation,Smell6_Severity,Smell6_Refactoring,Smell7,Smell7_Validation,Smell7_Severity,Smell7_Refactoring,Clean 2,Smell8,Smell8_Validation,Smell8_Severity,Smell8_Refactoring,Smell9,Smell9_Validation,Smell9_Severity,Smell9_Refactoring,Smell10,Smell10_Validation,Smell10_Severity,Smell10_Refactoring,Smell11,Smell11_Validation,Smell11_Severity,Smell11_Refactoring,Smell12,Smell12_Validation,Smell12_Severity,Smell12_Refactoring,Smell13,Smell13_Validation,Smell13_Severity,Smell13_Refactoring,Smell14,Smell14_Validation,Smell14_Severity,Smell14_Refactoring,Smell15,Smell15_Validation,Smell15_Severity,Smell15_Refactoring,Clean 3
Yes,Open_2,None-Open,Self-employed,More than 10 years,"Analytics (Business,IT services, BigData...)",Comfortable,Expert,Expert,Expert,Novice,Rarely,Often,Very often,Often,Often,Rarely,Often,Very often,N/A,Very often,Often,Often,Often,Very often,Rarely,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,13,12,8,10,11,3,14,15,2,6,5,7,9,4,1,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,No,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,Yes,No,2 (Low),No (No refactoring),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,2 (Low),No (No refactoring),,,,,No
Yes,Open_2,None-Open,Project Manager,5-10 Years,Robotics and Embeeded systems,Little Knowledge,Little Knowledge,Expert,Expert,Expert,Very often,Very often,Very often,Rarely,Rarely,Often,Often,Very often,Rarely,Often,Rarely,Often,Rarely,Often,Often,Negative,Neutral,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,14,12,10,11,5,3,15,13,6,7,2,9,4,8,1,Yes,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),Yes (Refactoring with this solution),,,,,Yes,Yes,No,1 (Very Low),No (No refactoring),,,,,Yes,No,2 (Low),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),No,No,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,No
Yes,Open_2,None-Open,Software Engineer,1 year - 5 Years,Networks,Comfortable,Expert,Expert,Expert,Comfortable,Very often,Very often,Often,Often,Often,Often,Very often,Often,Very often,Very often,Often,Rarely,Rarely,Rarely,Rarely,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,N/A,N/A,N/A,N/A,N/A,N/A,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,14,13,15,12,7,5,10,11,1,8,3,4,6,9,2,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),No (No refactoring),,,,,Yes,Yes,1 (Very Low),No (No refactoring),,,,,No,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,,,,,,,,,,,,,Yes,No,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),,,,,
Yes,Open_2,None-Open,Team Lead,5-10 Years,"Analytics (Business,IT services, BigData...)",Expert,Comfortable,Expert,Expert,Expert,Often,Often,Very often,Often,Rarely,Often,Often,Very often,N/A,Very often,Often,Often,Often,Rarely,Very often,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,12,9,11,5,1,15,13,8,10,4,6,3,2,7,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,No,Yes,No,2 (Low),"Yes (Refactoring with another solution), please specify",,,,,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),Yes,No,4 (High),Yes (Refactoring with this solution),,,,,No
Yes,Open_2,None-Open,Software Engineer,1 year - 5 Years,Networks,Practical,Comfortable,Expert,Comfortable,Expert,Often,Often,Very often,Very often,Often,Rarely,Often,Often,Rarely,Often,Rarely,Rarely,Rarely,Often,Often,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,N/A,N/A,N/A,N/A,N/A,N/A,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,13,12,11,14,3,4,15,10,6,8,9,7,2,5,1,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,No,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,No,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,No
Yes,Open_2,None-Open,Developer,5-10 Years,Robotics and Embeeded systems,Practical,Expert,Expert,Expert,Comfortable,Very often,Very often,Often,Often,Very often,Often,Very often,Very often,Very often,Often,Rarely,Often,Often,Rarely,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,10,11,12,15,14,3,13,2,5,7,4,9,6,8,1,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,No,No,,,,,,,No,No,No,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,5 (Very High),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),No (No refactoring),,,,,Yes
Yes,Open_2,None-Open,Software Engineer,5-10 Years,Games,Expert,Expert,Expert,Comfortable,Comfortable,Very often,Rarely,Very often,Very often,Often,Rarely,Often,Often,Rarely,Often,Often,Very often,Rarely,Rarely,Rarely,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,15,10,14,12,3,5,13,6,9,8,11,7,2,4,1,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,No,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,No,3 (Medium),No (No refactoring),Yes,Yes,2 (Low),No (No refactoring),No,No,,,,,,,No
Yes,Open_2,None-Open,Software Engineer,5-10 Years,Robotics and Embeeded systems,Practical,Comfortable,Expert,Expert,Practical,Rarely,N/A,Often,Often,Rarely,Often,Often,Very often,Often,Rarely,Rarely,Often,Often,Rarely,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,15,13,11,9,8,2,12,14,6,10,1,4,3,5,7,No,,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,No,No,,,,,,,No,No,No,,,,,,,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,No,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,No
Yes,Open_2,None-Open,Team Lead,5-10 Years,Games,Comfortable,Comfortable,Expert,Comfortable,Practical,Often,Often,Very often,Very often,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Rarely,Often,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,14,12,10,11,6,7,15,13,1,9,3,8,2,5,4,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,No,Yes,Yes,2 (Low),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,No,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,No
Yes,Open_2,None-Open,Team Lead,More than 10 years,"Analytics (Business,IT services, BigData...)",Expert,Expert,Expert,Comfortable,Expert,Rarely,Very often,Rarely,Very often,Often,Often,Very often,Very often,Often,Often,Rarely,Often,Rarely,Often,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,13,15,12,10,11,2,9,14,5,7,4,6,3,8,1,No,,,,,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,No,No,,,,,,,No,No,No,,,,,,,No,No,,,,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,No,4 (High),Yes (Refactoring with this solution),,,,,No
Yes,Open_2,None-Open,Project Manager,1 year - 5 Years,Networks,Expert,Expert,Comfortable,Expert,Comfortable,Very often,Rarely,Often,Rarely,Often,Often,Often,Very often,Often,Rarely,Rarely,Rarely,Often,Rarely,Very often,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,15,12,10,11,7,6,14,13,8,9,3,4,1,5,2,Yes,,,,,No,,,,,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,No,No,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes
Yes,Open_2,None-Open,Architect,More than 10 years,"Analytics (Business,IT services, BigData...)",Expert,Expert,Expert,Comfortable,Comfortable,Rarely,Often,Very often,Very often,Often,Often,Very often,Very often,Often,Very often,Rarely,Often,Rarely,Rarely,Rarely,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,11,15,14,12,7,2,10,13,6,9,4,8,1,5,3,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,No,No,,,,,,,Yes,Yes,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,No,Yes,Yes,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,No,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),,,,,No
Yes,Open_2,None-Open,Software Engineer,More than 10 years,Research and development,Expert,Expert,Comfortable,Expert,Expert,Often,Often,Very often,Very often,Often,Rarely,Often,Often,Rarely,Often,Rarely,Often,Very often,Often,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,15,13,10,9,14,3,12,7,5,8,1,11,2,6,4,Yes,,,,,Yes,No,3 (Medium),No (No refactoring),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,No,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,No,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),No (No refactoring),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,No,4 (High),Yes (Refactoring with this solution),,,,,No
Yes,Open_2,None-Open,Team Lead,5-10 Years,Research and development,Practical,Comfortable,Expert,Expert,Expert,Often,Very often,Often,Very often,Rarely,Often,Often,Very often,Rarely,Very often,Often,Often,Rarely,Rarely,Rarely,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,13,10,11,7,2,12,15,3,8,5,9,4,6,1,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,Yes,1 (Very Low),No (No refactoring),,,,,No,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,2 (Low),No (No refactoring),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,No
Yes,Open_2,None-Open,Developer,1 year - 5 Years,Banking and insurance,Little Knowledge,Expert,Comfortable,Comfortable,Expert,Rarely,Rarely,Rarely,Very often,Often,Often,Often,Often,Rarely,Often,Very often,Often,Often,Often,Often,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,11,12,10,7,6,15,13,4,9,3,8,1,5,2,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,No,No,,,,,,,No,No,No,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,,,,,,,,,No
